Which of these following items are benefits of E-Learning? Hint: choose multiple answers (3) - |,lower cost,greater flexibility,more effective learning
#Which of the following is not a benefit of auctions to sellers? - |Entertainment
#Which of the following is a limitation of auctions? - |Potential for fraud
#Which of the following types of products is not typically offered on priceline.com? - |Antiques
#What is the typical order of the phases of the auction process? - |Searching and comparing, getting started at an auction, the actual bidding and post auction follow-up
#A seller has his friend bid on his auction to help drive up the price. What type of fraud is this? - |Shilling
#A group of bidders artificially inflate the price of an item to scare off other bidders. They then back out at the last minute, leaving one of them with a relatively low bid. What type of fraud is this? - |Bid shielding
#What are the steps in bargaining online? - |Search, selection, negotiation, continuing selection and negotiation, and transaction completion
#Which of the following is not a benefit of using wireless phones in auctions? - |Security
#Which of the following is a free method used to help deter fraud in online auctions? - |Grading services
#Which of the following is not an example of post auction follow-up? - |Snipping
#Which of the following services does an automated search service provide? - |Searches several auction sites for a particular product selected by the user
#Which of the following is not true about the anatomy of cyber attacks? - |Reporting serious attacks has increased
#Which of the following is generally the lowest ranked attack type? - |DOS attacks
#Which of the following is not decreasing? - |Web site defacements
#Determining who has the right to access a portion of a Web site is a question of: - |Authorization.
#Which of the following is not one of the four phases of risk management? - |Reporting
#Which factor is responsible for most information security breaches? - |Human error
#Which of the following is not part of the CIA triad? - |Pricing
#A hacker uses special software to access a server on your network. What type of attack is this? - |Technical
#Sending a large number of messages to a server that is unable to handle it. What type of attack is described? - |Denial of service (DOS)
#An attack using a previously unknown vulnerability compromises a system. What type of attack is described? - |Zero-day incident
#Sending a piece of code that replicates and sends itself to everyone in your address book. What type of attack is described? - |Worm
#What type of mechanism determines who can legitimately use a network resource? - |Access Control
#A firewall is configured to examine not only the header of incoming messages but also their contents. What type of firewall is described? - |Stateful packet inspection
#A file is encrypted, and then decrypted using the same key. What type of encryption is described? - |Private key
#Which of the following is not a type of Internet security tactic? - |PPT
#Which of the following is not a common use of smart cards? - |PC replacement
#Which of the following is not an example of an e-payment? - |Cash
#Which of the following is not one of the parties usually associated with electronic payments? - |Enforcer
#Business A provides a system of credits that allow other businesses to make online purchases. What role is Business A performing? - |Issuer
#An ACS System: - |Verifies addresses against purchasers
#A CVN: - |Compares the verification number on a card to issuer records
#Micropayments are generally under: ___________ . - |$10
#Which of the following is not one of the major types of payment cards? - |Flip cards
#EIPP is used for: - |Presenting and paying B2B invoices online
#Jackie has an e-card that she uses to purchase office supplies for the company she works for. What type of smart card is she using? - |Purchase card
#Morgan has an e-card that he uses to access different parts of his company's R&D offices. What type of smart card is he using? - |Smart card
#Jackie has an e-card that she waves at the turnstile to enter the subway. What type of smart card is she using? - |Contactless card
#Which of the following is not a limitation of e-cash? - |Lack of potential uses
#Which of the following is not characteristic of an e-check? - |Work under a new, enhanced legal framework
#Virtual credit cards are used to: - |Use in place of actual CC numbers online for security
#Which of the following is a private B2B e-marketplace? - |Company ABC sells machine parts to their 20 customers on their Web site
#Which of the following is an example of disintermediation? - |In addition to selling through department stores, a firm begins to sell online
#Which is not a characteristic of strategic sourcing? - |Supported through third-party exchanges
#Mark's company helps several buyers and sellers meet and conduct business online. What type of model is he using? - |Many-to-many marketplace
#Anna's company sells a variety of products to her business clients. What type of model is she using? - |Sell-side marketplace
#Which of the following is not a characteristic of sell-side merchants? - |They slightly increase prices for online sales
#Which of the following is not a benefit of forward auctions? - |Increased product quality
#Which of the following is not a benefit to working with an intermediary? - |Increased control over auction sales
#Which of the following is not a goal of procurement management? - |Increase maverick buying
#What are the steps in a Web-based reverse auction? - |Prepare and post project information, identify and approach suppliers, bids are created and submitted, bids evaluated and awarded
#Several businesses create a single online catalog for their customers. This is an example of - |Catalog aggregation
#Which of the following is not part of the required infrastructure for a B2B marketplace? - |Proprietary, private networks
#Which of the following is not a benefit of Internet- based XML over traditional EDI - |Guarantees universal compatibility
#In reviewing integration of new B2B systems with existing information systems, we find which of the following to be untrue? - |Most major software vendors do not provide for integration.
#Which of the following is not an example of company-centric EC? - |A group of companies purchase office supplies from a consolidated online catalog
#Which of the following is not a classification of exchange? - |Tangential E-Exchange
#Which of the following does not create dynamic pricing? - |Long-term contracts
#Which of the following groups is the least likely to own a B2B exchange? - |Mid-sized industry player
#B2BBusiness.com offers classified ads, a fixed price catalog, auctions and community services. What type of B2B many-to-many model are they using - |B2B portal
#Which of the following businesses is an information portal? - |Company D provides news, bulletin boards and classified ads for a particular vertical market
#Mike's business plan calls for him to coordinate several businesses together in one exchange. Together, he hopes that this group of businesses will receive better pricing from the big vendors. What type of model is Mike using - |Buyer aggregation
#In which type of market would a third-party exchange most likely be less successful? - |Balanced market
#What are the four types of consortium trading exchanges? - |Vertical-purchasing oriented, horizontal-purchasing oriented, horizontal-selling oriented and vertical-selling oriented
#B2B consortia may face antitrust challenges. Which of the following would probably not signal suspicion in a B2B consortium exchange? - |Rapidly falling prices for end users
#Which of the following is an example of matching? - |A B2C EC site
#What are the steps in creating a vertical e-marketplace? - |Thinking ahead, planning, system analysis and design, building the exchange, testing/installation/operation, and system evaluation
#Gaye operates a B2B exchange that services a vertical market that marketers have difficulty targeting. What type of revenue model should she consider first? - |Advertisement fee
#The volume of business should be high to reduce transaction fees. Which of the five critical success factors identified by Ramsdell is being described? - |Early liquidity
#Membership in the exchange should be inclusive and allow a variety of businesses to take part. Which of the five critical success factors identified by Ramsdell is being described? - |Openness
#Being the first mover in a market may help eliminate which of the following problems with exchanges? - |Too many exchanges
#Which of the following is the flow of materials, information, money and services from raw materials suppliers to end customers? - |Supply chain
#Which of the following is not a characteristic on an intranet? - |Uses proprietary stands
#Which of the following is not required for an intranet? - |Access to the Internet
#Potential uses for a corporate intranet can be best described as: - |Robust, potential uses still being discovered
#Portal ABC was designed for a company's intranet. It has a broad amount of information designed for a narrow audience. What type of portal is being described? - |Corporate portal
#Erratic shifts in orders up and down supply chains is know as the: - |Bullwhip effect
#Which of the following technologies use magnetic waves to track items? - |RFID
#Which of the following technologies use item level tracking of items? - |RUBEE
#Which of the following technologies is safe to use in tissue? - |RUBEE
#Which of the following systems have suppliers and retailers collaborating in their planning and demand forecasting to optimize the flow of materials along the supply chain? - |CPFR
#Which of the following systems use algorisms to identify optimal solutions to complex planning problems that are bound by constraints? - |APS
#Which of the following do businesses consider the least important when creating portal services? - |News services
#Portal ABC was designed for a large and diverse audience. It has little individual customization available. What type of portal is being described? - |Publishing portal
#Which of the following systems make suppliers responsible for retailers inventory levels? - |VMI
#Which of the following is not an synchronous collaboration tool? - |Voice mail
#Which of the following is not an example of B2E? - |A business advertises for new employees on their Web site
#Which of the following categories of e-government reduces the average time for citizens to find benefits? - |G2C
#Which of the following categories of e-government increases the number of grant programs available for electronic application? - |G2G
#Which of the following categories of e-government reduces the average time for businesses to comply with regulations? - |G2B
#Which of the following categories of e-government reduces the average time to process clearance forms? - |IEE
#E-government can generally include all of the following except: - |Selling commercial items
#Which of the following is an example of government-to-citizen (G2C) EC? - |Electronic benefits transfer (EBT)
#What are the stages of implementation of e-government? - |Information publishing, official two-way transactions, multipurpose portals, portal personalization, clustering of common services and full integration
#Real transformation of government structure takes place in what stage of implementation? - |Clustering of services
#Which of the following is an example of peer-to-peer EC? - |File sharing
#Which of the following is not an example of a P2P system? - |User interfaces are based inside a Web browser
#Which of the following is not a challenge in e-learning? - |Student interest
#Which of the following is an electronic magazine delivered over the internet? - |E-Zine
#Which of the following is not an established application of e-government? - |G2P
#Which of the following is not an identified benefit of electronic benefits transfer (EBT)? - |Ease in assigning taxes
#Company ABC sells a variety of products on its Web site to the highest bidder. What type of business model are they using? - |Online auction
#Company XYZ helps individuals sell products to other individuals and takes a small commission on each sale. What EC classification do they fit? - |c2c
#Which of the following is a virtual organization? - |Two companies combine resources to market a new product. They know this product can only be sold for the next 3 months.
#Customization allows companies to: - |Produce a large number of individualized products.
#Which of the following is not a limitation of EC? - |Customers now have nearly unlimited bandwidth.
#Company XYZ sells products to individuals. What EC classification do they fit? - |b2c
#Which of the following is not an attribute of a corporate portal? - |The public uses this portal to access the Internet
#Which of the following is a limitation of EC? - |Special network and hardware requirements
#Which of the following is a benefit of EC? - |Individuals can telecommute more easily
#EC reduces cycle time in all of the following ways except: - |Customer satisfaction
#Why is B2C generally less attractive than B2B? - |Channel conflict
#Company XYZ helps individuals exchange digital products. What EC classification do they fit? - |p2p
#Company ABC has several divisions that have created private resources that can be accessed using Internet protocols. The company is now going to link these resources together. What type of network is being described? - |Extranet
#Company XYZ sells a variety of products on its Web site. What type of business model are they using? - |E-tailing
#Association ABC helps its members get discounts on the purchases by buying in bulk. What type of business model are they using? - |Group purchasing
#Which of the following is not the function of a market? - |Ensuring profits of brokers
#Which of the following is an intermediary? - |Computer system that matches buyers with "Goods Wanted" to seller with "Goods for Sale"
#Lowering a customer's search cost allows them to: - |Research more items to find the best price
#In what way does mobile computing not help organizations - |Costs of hardware are increasing
#Which of the following is not a disadvantage of paper catalogs? - |Portability
#What is NOT one of Porter's Five Forces? - |Effects of EC Systems
#Why would a merchant want to customize products? - |To charge a higher price
#A Web site offering content created by a third party transparently to customers is an example of: - |Syndication.
#Which is an example of reintermediation - |Using a salesperson to negotiate a large, complex agreement
#Which of the following is not a limitation of traditional auctions? - |Duration of sale
#An item is offered with a minimum bid. The winner pays the exact price of his bid. What type of auction is being described? - |Forward auction
#The bidder details exactly what they are willing to pay. The Seller accepts or rejects the price. What type of auction is being described? - |Name-your-own-price auction
#Which of the following is not a benefit of auctions to sellers? - |Entertainment
#What three factors facilitate online negotiations? - |Voice over IP systems
#Which of the following is a limitation of auctions? - |Potential for fraud
#Jeff wants to purchase online, but is concerned about a company's privacy policy. What online purchase decision aid should he use? - |Trust verification site
#Trust verification sites evaluate a business's trustworthiness. How comprehensive is this evaluation? - |Moderate, generally verification indicates a trustworthy user
#Which type of shopping software agent learns a user's preferences over time? - |Learning agent
#Which of the following is an example of a general purpose pure-play e-tailer? - |Store A does not have a physical location and sells a variety of products.
#Which of the following is not a typical service provided by online travel agents? - |True bargains on airfare cost
#Which of the following is not a change in the travel industry created by online travel agents? - |Higher total trip cost due to lost services
#Which of the following is the most serious strategic threat to traditional travel agents? - |Intelligent software agents
#Which of the following is not a driver in the electronic job market? - |Size of labor market
#Which of the following is not one of the advantages of the electronic job market for employees? - |Lack of Internet users
#Which of the following is not a benefit of using the Internet to aid real estate transactions? - |Online services eliminate the need to visit houses
#Which of the following companies does not trade stocks online? - |Priceline.com
#Which of the following is not a capability of home banking? - |Print new checks online
#Which of the following is not an advantage of online banking? - |Personal interaction with staff
#What is the likely effect on intermediation of the following market events: aggregation, complex search requirements, and new markets? - |Cybermediation
#Content created by a publisher that must be read using a computer or similar handheld device is an example of what type of digital publishing? - |E-book
#Which of the following is not an organizational buyer? - |Student purchasing school supplies
#Which of the following is not a part of the EC Consumer Behavior Model? - |Decider variables
#Which of the following is not an environmental variable in EC purchasing? - |Climate variables
#What are the two most cited reasons for not purchasing online? - |Security and quality assessment
#Janice and Tony decided to buy the new computer system Paul suggested after careful analysis. Janice directed Rich, her assistant, to order the system. In this example, what purchasing role does Rich play? - |Buyer
#Janice and Tony decided to buy the new computer system Paul suggested after careful analysis. Janice directed Rich, her assistant, to order the system. In this example, what purchasing role does Janice play? - |Buyer
#A Web site asks users to fill out a questionnaire about themselves. The Web site then personalizes to the user and makes recommendations. What type of personalization is being used? - |Rule-based filtering
#Which of the following is the most popular online customer service tool? - |E-mail
#Web mining hopes to accomplish all of the following except: - |Determine characteristics of specific users
#Mark is using an intelligent agent to help him determine which CD to purchase. What type of agent is he using? - |Product brokering
#Julie is using an intelligent agent to help her find the best price on a CD she would like to purchase. What type of agent is she using? - |Merchant brokering
#What is not a benefit of an FAQ? - |The answers can change dynamically based on the questions
#Which of the following advertising methods involves the use of games? - |Advergaming
#What is the proper order for the steps in market research? - |Problem Definition, Research Methodology, Data Collection and Analysis, Results and Recommendation
#Which is not a characteristic of permission marketing? - |Spamming
QN=1 Dell's cornerstone business model is based on the concept of: - |c. build-to-order which allows customers to configure their own customized systems
QN=2 _____________ refers to the buying and selling of goods and services; servicing of - |b. E-business
QN=3 EC can take several forms depending on the degree of digitization of the following - |a. the product or service sold, the process, and the delivery method
QN=4 Purely physical companies are referred to as ____________ companies, whereas - |b. brick-and-mortar; virtual
QN=5 The ways in which EC is done include: - |d. the Internet, value-added networks, on local area networks using intranets, or on a
QN=6 _______________ are systems where only routine transaction processing and - |b. Interorganizational information systems
QN=7 EC applications are supported by infrastructure and by each of the following support - |d. Mobile devices
QN=8 Intrabusiness EC is usually performed over intranets and/or _______________. - |a. corporate portals
QN=9 A technology that is used to electronically transfer routine documents, such as - |c. Electronic data interchange
QN=10 ________ refers to the second-generation of Internet-based services that let people - |c. Web 2.0
QN=11 Which of the following is not a characteristic of the Digital Revolution ? - |a. Many business processes are expedited by up to 50 percent.
QN=12 According to the Business Environment Impact Model, ___________ provide - |a. EC and IT
QN=13 A ____________ is a company's method of doing business to generate revenue to - |b. business model
QN=14 According to the __________________ revenue model, companies receive - |c. affiliate fees
QN=15 According to the __________________ revenue model, customers page a fixed - |a. subscription fees
QN=16 Large private organizational buyers and government agencies make large-volume or - |a. electronic tendering systems
QN=17 According to the _____________ model, an organization can increase brand awareness - |d. viral marketing
QN=18 Online group purchasing organizations are known as: - |b. e-co-ops
QN=19 Major barriers to EC include all of the following EXCEPT: - |d. lack of technology
QN=20 Which of the following is a technological limitation of EC? - |c. Order fulfillment requirements of large-scale B2C.
QN=19 A job opening in the Sales Department posted on the company's Intranet by the - |d. B2E
QN=21 Boeing designing a product together with a business partner is this type of interaction: - |a. Collaborative Commerce
QN=22 The second-generation of Internet-based services that lets people collaborate and share - |c. blogging
QN=23 The digital enterprise shifts the focus from managing individual information resources - |b. orchestrating the services and workflows
QN=24 A corporation uses the Internal Revenue Service's Web site to learn how to pay its - |d. E2E
QN=25 Many companies employ a(n) ________________, which is a gateway for customers, - |a. corporate portal
QN=26 Because the rate of change and the level of uncertainty are expected to accelerate, - |b. operating under increasing pressures to produce more products, faster, and with
QN=27 A large number of EC companies, especially e-tailing and B2B ones, failed from 1999 - |b. The companies failed to register with search engines, such as Google.
QN=28 Intrabusiness EC is usually performed over intranets and/or _______________. - |a. corporate portals
QN=29 A business such as Apple Computers making online transactions with its trading - |a. B2B
QN=30 Challenges that Boeing faced with its global collaboration for the design and assembly - |d. Lag time
QN=31 Fundamentally, the success of the pure-play jewelry e-tailer Blue Nile was due to the - |d. offer lower prices than competitors
QN=32 Traditional and electronic markets have three main functions, which include each of - |a. transforming raw materials into finished products.
QN=33 Digital products have different cost curves than those of regular products because: - |b. in digitization, most of the costs are fixed, and variable costs are very low.
QN=34 The portion of an e-seller's business processes through which customers interact, - |a. front end
QN=35 The major __________ e-marketplaces are storefronts and Internet malls. - |d. B2C
QN=36 An electronic storefront includes several mechanisms that are necessary for - |c. a supply chain
QN=37 All the activities that are related to order aggregation and fulfillment, inventory - |b. back end
QN=38 _______________ are online markets owned and operated by a single company and - |a. Private e-marketplaces
QN=39 A(n) _____________ is a single point of access through a Web browser to help users - |c. information portal
QN=40 Finding relevant and accurate information is often time-consuming and requires - |a. portals.
QN=41 A type of broker that helps consumers compare different stores is a: - |c. shopping facilitator.
QN=42 Human or electronic intermediaries attempt to address each of the following - |d. product distribution.
QN=43 The elimination of various types of agents that mediate between buyers and sellers, - |b. disintermediation
QN=44 A mode is purchasing where prices are negotiated or discounted is - |a. dynamic pricing
QN=45 Although used occasionally in B2C commerce, customized catalogs are especially - |b. Intranets, in particular, can deliver customized catalogs to different business customers.
QN=46 To be successful and useful, large e-catalogs need a(n) __________________. - |a. search engine
QN=47 A ____________ has capabilities that can be used to perform routine tasks that require - |c. software agent
QN=48 Popular search engines include all of the following EXCEPT: - |c. AltaVista
QN=49 A(n) ____________ is an order-processing technology that allows customers to - |c. electronic shopping cart
QN=50 The most common and traditional form of auctions in which one seller entertains bids - |a. forward auctions.
QN=51 An auction in which there is one buyer and many potential sellers; or in which a buyer - |b. forward auctions.
QN=52 What is a benefit of e-auctions to sellers? - |d. The optimal price is determined by the market.
QN=53 Organizations are embracing mobilized computing technologies for several reasons - |c. Wireless security problems have been solved with encryption.
QN=54 EC competition is very intense because online transactions enable each of the - |b. Higher prices because of a greater number of potential buyers.
QN=55 Which of the following statements about differentiation and personalization is not - |a. Products must be differentiated for perfect competition.
QN=56 It can be said that competition between companies is being replaced by competition - |d. networks
QN=57 The Internet has influenced industry structures in each of the following ways EXCEPT: - |b. Increases differences among competitors whose offerings are kept proprietary.
QN=58 Impacts of e-marketplaces on B2C direct marketing include all of the following - |c. Brand images for new companies have become more difficult to establish.
QN=59 One of the major benefits of e-markets is the improvement in supply chains with the - |d. logistics chain
QN=60 ______________ provides customers with exactly what they want, when and where - |b. Demand-driven manufacturing
QN=61 Which of the following is true of virtual banks? - |a. Virtual banks have no physical location.
QN=62 According to data from eMarketer, approximately _______________shop online - |b. three in four Internet users age 14 and over
QN=63 A traditional brick-and-mortar store with a mature Web site uses a click- and - |a. reduce refunds and exchanges.
QN=64 All of the following categories have already been selling well online EXCEPT: - |a. new cars
QN=65 DeFreshFish has been in business for ten years selling custom fishing lures to local - |a. the risk associated with trying to comply with conflicting rules and
QN=66 ________________ are those who are young and comfortable with technology. - |c. New technologists
QN=67 The original click-and-mortar strategy used by Toys R Us failed, as did the original toy - |b. an alliance of a pure-player with a traditional retailer.
QN=68 The TRUSTe seal is an example of: - |d. a trustmark.
QN=69 Software tools that scout the Web for stores that sell similar items at low prices are - |b. Shopbots.
QN=70 are extremely busy customers willing to shop online in order to free up time. - |b. Time-starved customers
QN=71 Important trends in B2C EC include all of the following EXCEPT: - |b. the Internet will influence approximately 25 percent of all retail sales by
QN=72 Sears marketing strategy would best be described as: - |c. a click-and-mortar strategy.
QN=73 Dell's strategy is best described as: - |d. direct marketing from a manufacturer.
QN=74 Amazon.com experienced all of the following EXCEPT: - |c. The company's financial success has been assured.
QN=75 With all else being equal in the online environment, goods with any of the following - |c. Relatively expensive items.
QN=76 Marketing that takes place without the help of intermediaries is called: - |a. direct marketing.
QN=77 In direct marketing: - |c. customers are contacted directly without the help of intermediaries.
QN=78 An online seller of travel services that generates revenue by charging fees for its - |b. transaction broker.
QN=79 A marketer that uses e-mail to advertise to potential customers is called a: - |d. viral marketer.
QN=80 A company that creates and manages many-to-many markets is called a: - |a. market maker.
QN=81 In an e-market, Federal Express is an example of a(n): - |b. service provider.
QN=82 All of the following are potential sources of revenue for online independent travel - |a. direct marketing revenues.
QN=83 Which of the following is true of virtual banks? - |a. Virtual banks have no physical location.
QN=84 ________________ are customers who are willing to shop online because they dislike - |d. Shopping avoiders
QN=85 All of the following are examples of interactive entertainment EXCEPT: - |b. purchasing theatre tickets online.
QN=86 ________________ are gateways to storefronts and e-malls. - |a. Shopping portals
QN=87 ______________ are sites that evaluate and verify the trustworthiness of e-tailers - |c. Trust verification sites
QN=88 Charles wants to buy a John Lennon lithograph over the Internet, but he is unwilling to - |a. an escrow service.
QN=89 A software agent that surveys user's reading interests, then uses machine learning to - |d. a learning agent.
QN=90 A traditional brick-and-mortar store with a mature Web site uses a click-and-mortar - |a. reduce refunds and exchanges.
QN=91 The single factor that will determine which intermediaries continue to exist and which - |c. the addition of value-added services by the intermediary
QN=92 An e-tailer uses cookies to identify returning customers and to provide suggested - |a. personalization.
QN=93 According to the EC consumer behavior model, personal characteristics and - |a. independent variables
QN=94 The major environmental variables influencing EC purchasing are: - |b. social, cultural, community, regulatory, political, and legal.
QN=95 Pricing, technical support, and logistics support are several of the _______________ - |c. intervening variables
QN=96 Because online buyer's decisions depend on numerous independent and intervening - |b. dependent variables
QN=97 Banner advertising on Web sites helps trigger a realization that there is a gap between - |a. need identification
QN=98 Marketing and advertising approaches has evolved from mass marketing to market - |b. the Internet enabled companies to better communicate with customers and understand
QN=99 The core of the "new marketing model" consists of: - |d. customer relationships.
QN=100 Personalization and user profiling strategies include each of the following EXCEPT: - |a. Segmenting the market based on demographics.
QN=101 The two key factors limiting the use of personalization to more precisely target - |c. privacy and trust issues.
QN=102 The term______ refers to the number of times users call up a page that has a banner on - |b. ad view
QN=103 By increasing customer loyalty, EC companies can achieve each of the following - |d. lower resistance to competitors.
QN=104 What has been the impact of the introduction of EC on customer loyalty in general? - |a. Loyalty has decreased because of customers' ability to shop, compare, and shift
QN=105 According to research, customer satisfaction with an Internet store: - |c. drops dramatically when certain Web site features fail to perform properly, such as the
QN=106 The Internet introduced the concept of__________, which has enabled marketers and - |b. interactive marketing
QN=107 Issues related to trust in EC include all of the following EXCEPT: - |a. As a result of trust-transference programs through portal affiliation, seal of approval
QN=108 ________is an advertising strategy that uses word-of-mouth marketing in which - |a. viral marketing
QN=109 All of the following are correct about market research methods EXCEPT: - |c. Direct mail marketing methods are usually cost-effective.
QN=110 Social class, lifestyle, personality, and activities are descriptors used in ___________ - |c. psychographic
QN=111 Advertising in chat rooms, blogs, or social networks can achieve each of the following - |c. they can be used as one-to-one connections between a company and its customers
QN=112 To avoid getting false information from participants of online surveys, marketers learn - |d. Data mining to analyze clickstream data.
QN=113 According to Inmon, B2C clickstream data can reveal information each of the - |a. What goods the customer wanted to but could not find.
QN=114 Web analytics and mining tools and services: - |b. offer advanced functions that help marketers decide which products to promote, and
QN=115 Once a company knows a consumer's preferences, the company can predict, without - |c. collaborative filtering
QN=116 Limitations of online research methods are all of the following EXCEPT: - |d. E-mail surveys have the lowest response rate.
QN=117 The risks of e-mail advertising management include all of the following EXCEPT: - |b. measuring e-mail advertising effectiveness
QN=118 Procter & Gamble (P&G) used the Internet in the new product development of - |b. reduced the time-to-market from concept to market launch by approximately two years.
QN=119 Online methods of bringing new customers to a B2B site when a B2B vendor wants to - |a. through direct mail campaigns.
QN=120 The major disadvantage of banners is ______________. - |a. their cost
QN=121 A(n) ________ is an HTML coding statement that describes the content of a Web page - |c. meta-tag
QN=122 A(n) ________ is a type of pop-up ad that appears after a user clicks a link and remains - |c. interstitial
QN=123 Key business drivers for B2B are all of the following EXCEPT: - |c. the willingness of companies to incur higher costs to improve collaboration.
QN=124 In selling directly, manufacturers may encounter a similar problem to that of B2C, - |c. the willingness of companies to incur higher costs to improve collaboration.
QN=125 In selling directly, manufacturers may encounter a similar problem to that of B2C, - |a. channel conflict
QN=126 B2B transactions that involve communication, design, planning, information sharing, - |b. collaborative commerce
QN=127 The Cisco Connection Online (CCO) Website receives over 2 million hits per month - |a. 25/35
QN=128 The aggregation of suppliers' catalogs on the buyer's server to make it easier to - |a. internal procurement marketplace
QN=129 In general, the benefits of contract-management software include all of the following - |a. Reduces contract-related risks
QN=130 With __________, a business sells to a business but delivers small quantities to - |a. B2B2C
QN=131 A(n) _____________ is an online third party that brokers B2B transactions between a - |d. intermediary
QN=132 The purchase of goods and services as they are needed, usually at prevailing market - |c. spot buying
QN=133 Indirect materials are typically used in ________ activities - |a. maintenance, repair, and operation (MRO)
QN=134 Some of the benefits of a(n) __________ are that distributor scan check inventory, - |c. extranet-based order-entry tool
QN=135 Purchases of goods and services based on long-term contracts is referred to as. - |d. strategic sourcing
QN=136 ____________ can be supported more effectively and efficiently through direct buyer- - |a. Strategic purchases
QN=137 What are the two types of materials and supplies that are traded in B2B? - |b. Direct and indirect.
QN=138 Nonproduction materials such as equipment and tools that support production are - |a. indirect materials
QN=139 The _____________ consists of a number of interrelated subprocesses that extend from - |a. supply chain
QN=140 1. Companies will usually separate B2C orders from B2B orders because B2C and - |a. order-sulfillment processes and different pricing models
QN=141 Because conducting reverse auction in B2B can be afairly complex process, a(n) - |b. third-party intermediary
QN=142 Companies that use an intermediary to do their buying and selling tend to be: - |b. low on supply chain power and low on buying/selling capabilities
QN=143 The major B2B services include each of the following EXCEPT: - |d. Retail
QN=144 Major implementation challenges that companies must consider when planning eprocurement initiatives include all of the following EXCEPT: - |d. Increasing the number of regular suppliers and integrating with their information
QN=145 Which of the following is not one of the major benefits of B2B? - |b. Enables customized online catalogs with the same prices for different customers.
QN=146 _____________ occurs when B2B eliminates a distributor or a retailer. - |c. Disintermediation
QN=147 In a sell-side e-marketplace, a business sells products and services to business - |a. an extranet
QN=148 One of the major problems facing direct sellers is ______________. - |a. how to find buyers
QN=149 Companies use ____________ to sell their unneeded assets for quick disposal or to - |c. forward auctions
QN=150 Benefits of using a third-party hosting company for conducting B2B auctions instead of - |a. Time-to-market of several weeks.
QN=151 A company-based acquisition site that uses e-procurement methods such as reverse - |b. buy-side e-marketplace
QN=152 Benefits of e-procurement over traditional procurement methods include all of the - |c. Increasing the skill requirements and training needs of purchasing agents.
QN=153 By using the Internet and automatic-response software agents, GE reduced the cost of - |c. $0.20
QN=154 Before the Internet, the trading process for raw and partially processed chemicals, - |b. disintermediated
QN=155 A third party that operates an exchange and in many cases, also owns the exchange is - |b. market maker
QN=156 In the context of EC, ____________ are electronic trading-community meeting places - |a. exchanges
QN=157 In spot-sourcing, prices are: - |b. dynamic and set based on supply and demand
QN=158 An exchange whose members are in one industry or industry segment and that trades - |a. vertical exchange
QN=159 Light bulbs and office supplies might be purchased in a(n) _________________ by - |b. horizontal exchange
QN=160 In _______________, the prices are usually dynamic and are based on changes in - |d. spot sourcing
QN=161 In _________, the prices are usually negotiated or fixed. - |a. strategic sourcing
QN=162 The exchange model in which RFQs are aggregated then linked to a pool of suppliers - |c. buyer aggregation
QN=163 Spot sourcing of direct materials takes place: - |b. in vertical exchanges.
QN=164 In an exchange where plastic components are bought and sold, the market maker - |c. transaction facilitation.
QN=165 In an exchange where plastic components are bought and sold, the market maker - |b. maintaining exchange infrastructure.
QN=166 A market maker evaluates an exchange between a buyer in the United States and a - |b. maintaining exchange infrastructure.
QN=167 In the consortia model: - |b. several industry players come together to establish the exchange for the benefit of all.
QN=168 The exchange model in which a third party sets up the exchange and promises to run it - |a. neutral entrepreneur model.
QN=169 A market maker charges a percentage on every buy and sell made in the exchange. The - |b. transaction fee model.
QN=170 A market maker bills a buyer for reviewing several seller contracts and making a - |a. fee for service model.
QN=171 Chem Connect is an example of a successful e-exchange with: - |a. many buyers and many sellers
QN=172 All of the following are potential sources of revenue for an exchange EXCEPT: - |b. shipping and handling fees.
QN=173 An exchange charges an annual fee of $25,000 for all parties who want to trade in the - |b. membership fee model
QN=174 Markets in which several large sellers sell to a large number of buyers are called - |b. seller-concentrated markets
QN=175 The concept of liquidity for a B2B exchange is the: - |d. number of buyers and sellers in a market <271>
QN=176 The most attractive industries for a vertical exchange are characterized by: - |b. a market in which a small number of very large orders account for more than half
QN=177 When membership fees are the basis for revenue generation in an e-exchange, it has - |c. low membership fees often result in losses to the exchange,; however, high fees
QN=178 In dealing with exchange members, the management of the exchange should: - |a. make certain that the exchange is neutral in its dealings with all members.
QN=179 Brand building is important in B2B exchanges because: - |c. it is easy for exchange members to change to another exchange.
QN=180 From 2001 to 2006, a majority of e-exchanges: - |b. folded due to a lack of customers, cash, or both
QN=181 Attracting large business sellers to public exchanges is often difficult for all of the - |c. advertising costs in public exchanges are very expensive <288>
QN=182 Using tunneling technology to improve security of communication over the Internet is - |b. virtual private network (VPN).
QN=183 An exchange that handles materials used by companies in different industries is - |b. horizontal exchange <264>
QN=184 A company's internal operations and its relationships with suppliers and other business - |b. as complex as customer-facing applications such as taking an order online.
QN=185 For a manufacturer, the supply chain ends: - |b. when the product is used up and disposed of.
QN=186 The use of Web technologies to manage warehousing and transportation processes is - |c. e-logistics
QN=187 The e-SCM process that includes integrated production and distribution processes is: - |a. supply chain replenishment
QN=188 All of the following are true about product lifecycle management (PLM) EXCEPT: - |b. The demand for PLM in limited because it does not apply to products that have short
QN=189 The major benefit of group decision support systems is: - |d. in conducting virtual meetings
QN=190 ____________is the transfer of documents and computer files while video - |b. Data conferencing
