__________ refers to those attributes of a system visible to a programmer. | Computer architecture
3.2-25. Research has found that some people are more confident when communicating online and in computer-mediated discussions than they are communicating faceto-face with group members.|True
3.2-26. The strategies of cognitive restructuring help highly apprehensive group members communicate more confidently because they teach them important skills for participating in a discussion.|False
3.2-27. There is nothing a group can do to help members who suffer from high levels of communication apprehension.|False
3.2-28. Assertiveness can help raise a group member's level of confidence and reduce communication apprehension.|True
3.2-29. Aggressive communicators ask and answer questions without fear or hostility and stand up for their beliefs even when others disagree.|. False
3.2-30. Passive group members are rarely satisfied with their group experiences.|True
3.2-31. Compulsive talkers try or tend to direct the course of a group's discussion and take charge of the group.|True
3.2-32. Passive-aggressive group members often get their way by working against or undermining other members behind their backs and by appearing to agree while privately planning an opposite action.|True
3.2-33. Group member effectiveness increases as you move from passivity to assertiveness and then decreases as you move beyond assertiveness into aggressiveness.|True
3.2-34. When deciding how to say "No" to someone, make sure your statement is clear, as in "No, I'm not willing to take notes again."|. True

4.1-1. When analyzing and adapting group member diversity, you should consider members'|. all of the above
4.1-2. During the 1990s, ______________ were the fastest growing racial/ethnic group.|Hispanic/Latino Americans
4.1-3. Which of the following groups would be considered a co-culture?|. all of the above
4.1-4. In the homogeneous ? heterogeneous group dialectic, homogeneous refers to|a group composed of members who are the same or similar.
4.1-5. According to your textbook, there are 3 levels of diversity in every group. Which of the following dimensions characterize the third (external) dimension?|education, religion, and income,
4.1-6. People who believe that their culture is better than other cultures or that their culture should be the role model for other cultures would be classified as|. ethnocentric.
4.1-7. People who have biased beliefs about group members that are not based on direct experience and firsthand knowledge or have irrational feelings of dislike and even hatred for certain groups would be classified as|prejudiced.
4.1-8. All of the following statements are characteristics of people who have prejudices EXCEPT| They deny opportunities granted to certain groups of people such as employment, equal rights, and housing.
4.1-9. Which of the following traits are included in the Big Five Personality Traits and in the Myers-Briggs Type Indicator |extraversion
4.1-10. In dialectic terms, the opposite or counterpart of a Myers-Briggs judger is|a perceiver.
4.1-11. Oscar is very outgoing and tends to talk more than others during group discussions. He enjoys working in the group and encourages others to get involved. Which Myers-Briggs personality trait best describes Jasper?|extrovert
4.1-12. Wanda tends to focus on details of the group project. She prefers to concentrate on one task at a time. Of all the group members, Wanda may be the most practical and realistic. Which Myers-Briggs personality trait best describes Wanda?|sensor
4.1-13. Kim is people-oriented. She wants everyone in the group to get along. She often spends extra time helping other group members. Which Myers-Briggs personality trait best describes Kim?|feeler
4.1-14. Dennis is always the most organized member of his group. He frequently encourages the group to plan ahead. He develops lengthy "To Do" lists of tasks for the group to follow. Which Myers-Briggs personality trait best describes Dennis?|. judger
4.1-15. Even when everyone else in the group is upset or confused, Anthony stays cool, calm, and objective. He doesn't mind making tough decisions and can't understand why other group members get upset about things that are not relevant to the issue under discussion. In most situations, Anthony thinks it is more
important to be right than liked. Which Myers-Briggs personality trait best describes Anthony?|thinker
4.1-16. Reggie is highly structured and good at coordinating the group's work and keeping it organized. He never misses a deadline and expects others to do the same. Which Myers-Briggs personality trait best describes Reggie?|judger
4.1-17. Jason appears to be a very private person. He carefully thinks about what he is going to say before speaking. He enjoys the group but would prefer to work alone.Which Myers-Briggs personality trait best describes Jason? |introvert
4.1-18. Which scholar(s) define(s) an intercultural dimension as an aspect of a culture that can be measured relative to other cultures?|Geert Hofstede
4.1-19. Which of the following cultural dimensions is ranked very high in the United States?|individualism
4.1-20. Which of the following groups of countries is the most collectivist?|Central and South America
4.1-21. Collectivist cultures place greater value on|collaboration and cooperation.
4.1-22. In high-context cultures, messages are|implicit.
4.1-23. In cultures with high uncertainty avoidance, people|want predictability and clear rules of behavior.
4.1-24. In ___________cultures, people are more dependent on language to express what they mean.|low-context
4.1-25. More monochronic cultures are in|northern Europe and North America.
4.1-26. Which characteristics are common in monochronic time cultures?|Members like to concentrate on one job before moving to another.
4.1-27. In cultures with masculine values,|all of the above are true
4.1-28. According to Hofstede, the people of Japan, Venezuela, and Italy live in a(n)________________ culture.|masculine
4.1-29. People who share beliefs such as "It is the duck that squawks that gets shot," or "Seeing is better than hearing," would be characterized as members of a _______________ culture.|high-context
4.1-30. According to Hofstede's dimensions of culture, which country is ranked #1 in terms of masculine values?|Japan
4.1-31. High uncertainty avoidance is characterized by beliefs that|. deviant ideas and behavior should be suppressed.
4.1-32. Which cultural dimension would be characterized by the following components:(1) subordinates should be consulted; (2) privileges and status symbols are frowned upon; (3) parents treat their children as equals; and (4) teachers expect students to express their opinions in class?|low power distance
4.1-33. Which of the following statements would be made by someone from a low-context culture?|I like to be accurate, clear, and direct when I talk to others.
4.1-34. In You Just Don't Understand, Deborah Tannen's two-world hypothesis concludes that|all of the above are true
4.1-35. Your textbook urges both men and women to adapt to the opposite sex's way of thinking and making decisions by heeding all of the following recommendations EXCEPT|. Women should avoid disagreeing and arguing with men.
4.1-36. All of the following communication behaviors are discussed in Cheris Kramarae's Muted Group Theory EXCEPT|. Women should avoid challenging men in positions of power.
4.1-37. Which generation is described as follows: they are confident and have high selfesteem, are collaborators who favor teamwork, and generally like keeping their career options open.|Millennials
4.1-38. Which generation is described as follows: they are workaholics who are willing to challenge the status quo and are politically adept on the job. They believe that they are always right, but are willing to work hard to get what they want.|. Boomers
4.1-39. A 2007 study of college students investigating whether men or women talk more found that|. generally, men talk more than women.

4.1-40. All of the following statements about religion are true EXCEPT|. 1/2 of the world's population is Muslim.
4.1-41. Which of the following religions is the oldest?|Judaism

4.2-1. During the 1990s, the African American population increased 58%, and the European American population increased 48%.|. False
4.2-2. A culture is a learned set of shared interpretations about beliefs, values, and norms which affect the behaviors of a relatively large group of people.|True
4.2-3. American Indian tribes, African Americans, Hispanic/Latino Americans, Asian Americans, Arab Americans, Irish Americans, and members of large and small religious groups are all examples of co-cultures.|True
4.2-4. The second layer of diversity depicted in your textbook represents internal dimensions over which you have no control such as religion, marital status, and educational background.|False
4.2-5. 4 barriers to working in diverse groups are ethnocentrism, stereotyping, prejudice,and discrimination.|True
4.2-6. A study of college students in the 1990s found that African Americans were stereotyped as lazy and loud, and Jews were described as shrewd and intelligent.|True
4.2-7. Ethnocentrism is a generalization about a group of people that oversimplifies their characteristics.|. False
4.2-8. Discrimination describes how we act out and express prejudices.|True
4.2-9. Stereotypes often lead to prejudices.|True
4.2-10. Prejudices are based on extensive and direct experience as well as personal,firsthand knowledge about a group of people.|False
4.2-11. Scott Page, a political scientist at the University of Michigan, concludes that "intelligence alone is the most important factor in guaranteeing a group different perspectives on a problem."|. False
4.2-12. The Myers-Briggs Type Indicator looks at the different ways in which people prefer to use their minds: specifically, the way they perceive and the way they make judgments.|True
4.2-13. In group discussions, introverts find it hard to both absorb all the information and formulate an opinion about it.|True
4.2-14. According to the Myers-Briggs Type Indicator, sensor is the opposite personality trait preference of intuitive.|True
4.2-15. Sensor personalities in the Myers-Briggs typology prefer to deal with details.|. True
4.2-16. According to the Myers-Briggs Type Indicator, perceivers value flexibility, dislike deadlines, and often do their work at the last minute.|. True
4.2-17. The ideal group would be composed of members who represent the Myers-Briggs personality type of extroverted thinker.|False
4.2-18. Edward Hall's work on cultural differences identifies 2 dimensions that characterize cultural groups: uncertainty avoidance and masculine-feminine values.|. False
4.2-19. 4 of Geert Hofstede's cultural dimensions are individualism-collectivism, power distance, uncertainty avoidance, and masculine-feminine values.|True
4.2-20. To someone from a collectivist culture, a U.S. communicator's style and behavior may be viewed as selfish, arrogant, antagonistic, power-hungry, ruthless, and impatient.|True
4.2-21. In collectivist cultures, there is greater readiness to cooperate with group members.|. True
4.2-22. About 70% of the world's population regards independence and individualism as a more important value than collectivism.|False
4.2-23. Low power distance cultures include those in Israel, New Zealand, and Denmark.|True
4.2-24. In low power distance cultures, members accept major differences in power as normal, assuming that all people are not created equal.|False
4.2-25. The way in which Japanese people bow to one another in a face-to-face greeting demonstrates how the culture expresses power distance.|. True
4.2-26. Group members with more feminine cultural values may be highly effective and supportive but are less likely to achieve a real voice or influence in group decision making or leadership.|True
4.2-27. Members of a high-context culture tend to speak more, speak louder, and speak more rapidly than people from a low-context culture.|False
4.2-28. Germans represent people from a low-context culture.|. True
4.2-29. Polychronic time people are frequently late for appointments or may not show up at all.|True
4.2-30. People in polychronic cultures usually adhere to plans, schedules, and deadlines because time is valuable.|False
4.2-31. People from low-context cultures may prefer more information-rich technologies (such as videoconferences), as well as those that offer the feeling of social presence.|False
4.2-32. Books such as Men Are from Mars, Women Are from Venus have perpetuated stereotypes that cause harm to both men and women, including women's opportunities in the workplace, couple conflict and communication, and selfesteem problems among teenagers.|True
4.2-33. Research in group communication claims that some female members feel undervalued or invisible when working with male group members.|True
4.2-34. In light of Myers-Briggs personality traits, women will be more successful in groups if they do not use sarcasm with male members or tell them that they're illogical.|False
4.2-35. In light of Myers-Briggs personality traits, women may be more effective by asking men what they think rather than what they feel.|True
4.2-36. Cheris Kramarae's Muted Group Theory claims that those with power in a society "mute" the voices of women, the poor, and other minority groups.|. True
4.2-37. In general, women talk more than men do.|False
4.2-38. Generation Xers or the Generation X are confident and have high self-esteem. They like to collaborate and favor teamwork.|False
4.2-39. Baby Boomers?the workaholic generation?are often adept when it comes to navigating political minefields in the workplace.|True
4.2-40. Religious literacy requires the ability to understand and use the religious terms,symbols, images, beliefs, practices, scripture, heroes, themes, and stories that are employed in American public life.|. True
4.2-41. Islam is older than Judaism.|. False
4.2-42. Members of the Christian Scientist religious group believe that disease is a delusion of the carnal mind that can be cured by prayer.|True
5.1-1. At the end of every month, a sales manager offers a cash bonus to the most successful salesperson. What type of power is this leader using?|. reward power
5.1-2. A supervisor threatens to dismiss any member of the sales team who does not meet the sales quota by the end of the quarter. What type of power is this leader using?|. coercive power
5.1-3. You have been promoted to a management position at work. You expect employees to fulfill your requests because you are the boss. What type of power is this?|legitimate power
5.1-4. Dianna has been elected as leader of the research group because she has published more than any other team member on the research topic. What type of power is this?|informational power
5.1-5. Which category of power is operating when a group member nominates someone as a leader by saying, "I recommend that Romero be appointed chair of the building committee given his extensive experience as a successful contractor"?|expert power
5.1-6. Your group has chosen Madeleine as its leader because she has demonstrated strong organizational and problem-solving skills as well as a talent for motivating members and resolving conflict. What type of power does Madeleine have?|. referent power
5.1-7. The Center for Business Ethics at Bentley College poses all of the following questions to help leaders decide whether their behavior is ethical EXCEPT|. Do you avoid expressing your own opinions to make sure that they do not influence how group members think and act?
.1-8. When designated leaders are "plucked from a group in order to lead," they should|discuss ground rules for interaction while assuring group members of continued friendship.
5.1-9. All of the following behaviors are recommended strategies for becoming an emergent group leader EXCEPT|Avoid expressing your own opinion.
5.1-10. Trait Leadership Theory, also known as the "Great Man" theory, contends that|. leaders are born, not made.
5.1-11. Vu tries to maintain strict control over the Spring Festival Planning Committee.He insists on determining the direction and outcome of the committee's discussion.According to Styles Leadership Theory, which leadership style is Vu using?|. autocratic
5.1-12. As chairperson of the PTA's election committee, Vicky believes in practicing social equality. She shares decision making with the group. According to Styles Leadership Theory, which leadership style is Vicky using?|democratic
5.1-13. Even though Wayne is chairperson of the finance committee, he does little or nothing to help the group. He tends to let the group take charge of its decisions and actions. Which leadership style is Wayne using?|laissez-faire
5.1-14. Autocratic leaders|Both b and c.
5.1-15. Laissez-faire leaders|all of the above
5.1-16. Which theory of leadership explains how leaders can become more effective once they have carefully analyzed themselves, their groups, and the circumstances in which they must lead?|situational theory
5.1-17. If "task-motivated" describes your leadership style, Fiedler's Contingency Model of Leadership Effectiveness predicts that you will be least successful when|you have a moderate degree of power and task structure.
5.1-18. Fred Fiedler's Contingency Model of Leadership Effectiveness contends that the 3 important dimensions in every leadership situation are|leader-member relations, task structure, and the leader's amount of power and control.
5.1-19. Fred Fiedler's Contingency Model of Leadership Effectiveness claims that relationship-motivated leaders.|may do all of the above.
5.1-20. According to Fiedler's Contingency Model of Leadership Effectiveness, which of the following situations is the best match for a relationship-motivated leader?|There are moderately good leader-member relationships, a moderately clear task, and a moderate amount of power.
5.1-21. According to the Hersey-Blanchard Situational Leadership Model, as a group's readiness increases, leaders should move through 4 different leadership behaviors.Which answer depicts the order in which these behaviors usually occur?|tell, sell, participate, delegate
5.1-22. According to the Hersey-Blanchard Situational Leadership Model, a leader should try to ____________ when group members are able as well as willing and confident.|delegate
5.1-23. The participating stage in Hersey-Blanchard's Situational Leadership Model is similar to Tuckman's _________ stage of group development.|performing
5.1-24. All of the following characteristics distinguish transformational leadership EXCEPT|experience.
5.1-25. The 5M Model of Leadership Effectiveness focuses on all of the following interdependent leadership functions EXCEPT|mediating conflict.
5.1-26. Modeling leadership behavior in the 5M Model of Leadership Effectivness includes all of the following strategies EXCEPT|maintaining control at all times.
5.1-27. According to the 5M Model of Leadership Effectiveness, all of the following items are characteristic of effective decision making by group leaders EXCEPT|the ability to identify and make popular decisions.
5.1-28. As the group's leader, Grace makes sure that everyone in her group is committed to the group's common goal. She also helps solve interpersonal problems and conflicts, recognizing outstanding group work. Which of the following leadership
functions in the 5M Model of Leadership Effectiveness does Grace's behavior exemplify?|Motivating members

5.1-29. Raphael has been assigned the leadership task of managing an office in which most of the employees are young or new to the company. He decides that when problems or setbacks occur, he will not blame the group or its members. Instead,he will use the situation as a teachable moment and make sure that members
accept personal responsibility for a problem and its consequences. He will also look for situations in which group members can assume leadership responsibilities. Which of the following leadership functions in the 5M Model of Leadership Effectiveness does Raphael's behavior exemplify?|Mentoring members
5.1-30. Research verifies all of the following conclusions about women and leadership EXCEPT|women who act "ladylike" are viewed as much more effective than women who behave like strong male leaders.
5.1-31. Jim Collins, author of Good to Great, claims that unless you are willing to keep your ego in check for the sake of the group, you won't be an effective leader. In other words, you must seek a balance between|professional will and personal humility.
5.1-32. Members from uncertainty avoidance cultures prefer|more structure and instructions from a leader.
5.1-33. A leader who prefers a democratic approach to decision making and leadership may frustrate members who come from a(n) ____________ culture|. high power distance

5.2-1. All groups need leadership.|True
5.2-2. Whereas managers focus on effectiveness, leaders are concerned with efficiency.|False
5.2-3. Bennis and Nanus claim that power is the quality without which leaders cannot lead.|. True
5.2-4. Position power includes reward and coercive power whereas personal leadership power includes legitimate and informational power.|False
5.2-5. Legitimate power is role model power?the ability to influence that arises when one person admires another.|False
5.2-6. According to researchers, reward, legitimate, and coercive power are less effective than referent and expert power.|True
5.2-7. Coercive power can be effective when group members are aware of the leader's expectations and are warned in advance about the penalties for failing to comply.|True

5.2-8. A designated leader is selected by group members or by an outside authority.|True
5.2-9. According to the Center for Business Ethics, an ethical leader would bypass a competent person in order to promote a less competent relative or close friend.|False
5.2-10. If you want to emerge as the leader of a group, you should talk first and more often than other members.|True
5.2-11. When someone from within a group is appointed as its leader, the new leader should openly discuss leadership and seek members' help in resolving potential problems.|True
5.2-12. Traits Leadership Theory assumes that leaders are made, not born.|False
5.2-13. Autocratic leaders may be effective during a serious crisis when there's not enough time to hold a group discussion.|True
5.2-14. According to Styles Leadership Theory, the democratic leadership style is always best.|False
5.2-15. Laissez-faire leaders may have power, but they hesitate to exert their influence on group members and group work.|True
5.2-16. In mature and highly productive groups, a laissez-faire leader may be a good match for the group.|True
5.2-17. Functional Leadership Theory claims that an effective group can have more than
one member serving in a leadership role.|True
5.2-18. According to Fiedler's Contingency Model of Leadership Effectiveness,relationship-motivated leaders perform best in extremes?such as when the situation is highly controlled or when it is almost out of control.|False
5.2-19. According to Fiedler's Contingency Model of Leadership Effectiveness, taskmotivated leaders gain satisfaction from completing a task even if the cost is bad feelings between the leader and group members.|True
5.2-20. Fiedler's Contingency Model of Leadership Effectiveness claims that there are 2 important dimensions to every leadership situation: the level of leader charisma
and the level of leader power.|False
5.2-21. According to Hersey and Blanchard, "member readiness" refers to the extent to
which members are willing and able to work together.|True
5.2-22. According to Hersey and Blanchard's Situational Leadership Model, a leader
should tell a group what to do and closely supervise its work when members are
able but not unwilling or insecure.|False
5.2-23. Hersey and Blanchard's selling stage of leadership is similar to Tuckman's
storming stage of group development.|True
5.2-24. Charismatic leaders rely on reward, coercive, and legitimate power.|False
5.2-25. Transformational leaders help members understand the need for change, both
emotionally and intellectually.|True
5.2-26. The 5M Model of Leadership Effectiveness divides leadership tasks into 5
interdependent leadership functions: (1) Model leadership behavior; (2) Motivate
members; (3) Manage the group process; (4) Make decisions; and (5) Mentor
members.|True
5.2-27. In the 5M Model of Leadership Effectiveness, leaders Manage group process by
organizing and fully preparing for group meetings and work sessions.|True
5.2-28. According to the 5M Model of Leadership Effectiveness, effective leaders explain
the rationale or reasons for the decisions they make.|. True
5.2-29. Women are less likely than men to be preselected as leaders.|True
5.2-30. Multiple leaders are the exception rather than the rule in virtual groups.|. False
5.2-31. Research indicates that there are only slight differences in the behavior and style
of male and female leaders.|True
5.2-32. In his book, Good to Great, Jim Collins claims that effective leaders act modestly,
do not boast, and shun public glorification.|True
5.2-33. In his book, Good to Great, Jim Collins claims that effective leaders do what needs
to be done to achieve the group's goal in order to win public fame and fortune.|False
5.2-34. Leaders can motivate members from collectivist cultures by helping members
achieve personal goals and high status positions.|False
5.2-35. Group members from uncertainty avoidance cultures want more structure and instruction from a leader.|True
5.2-36. A leader who prefers a democratic approach to decision making may frustrate
members who come from high power distance cultures.|True
6.1-1. In order to achieve an optimal group experience, which of the following dialectic
tensions should a group negotiate to achieve a both/and resolution?|all of the above
6.1-2. Which of the following group dialectics is MOST applicable in Chapter 6, "Group Motivation"?|engaged ? disengaged
6.1-3. For the purpose of discussing group motivation, Maslow's 5 needs can be divided
into 2 categories: satisfiers and motivators. Which one of the following needs would be classified as a satisfier rather than a motivator?|. safety needs
6.1-4. Which 2 of Maslow's needs would be classified as satisfiers rather than motivators?|. physiological and safety needs
6.1-5. Which of Maslow's needs can a group meet if it deliberately limits its membership to carefully selected, notable individuals?|. esteem needs
6.1-6. Which of the following strategies is most likely to motivate group members with strong inclusion needs?|. Tell them how valuable they are to the group.
6.1-7. Expectancy-Value Theory|. explains why the probability of achieving a goal is as important as the goal
itself.
6.1-8. Which theory would explain why even when a goal is highly valued (becoming a
billionaire or dancing with the stars), you may not be highly motivated to pursue that goal if the chance of reaching it is very small?|. Expectancy Value Theory
6.1-9. In terms of the 8 basic Myers-Briggs types, which of the following strategies is most
likely to motivate an intuitive?|. Encourage visioning, creativity, and brainstorming.
6.1-10. In terms of the 8 basic Myers-Briggs types, which of the following strategies is
most likely to motivate an introvert?|Provide thinking time before and during discussions.
6.1-11. Group members' Myers-Briggs types affect their beliefs about and behavior in
groups. Which of the following beliefs would be characteristic of a perceiver?|Groups need freedom to examine multiple options during a discussion.
6.1-12. Kenneth Thomas describes 4 categories of intrinsic motivation needed to energize
and reinforce work. They are|meaningfulness, choice, competence, and progress.
6.1-13. In terms of Thomas's 4 categories of motivators, you can promote a sense of meaningfulness by|. volunteering for worthwhile group tasks that interest you.
6.1-14. Which of the following strategies can help you motivate other members by
promoting a sense of choice in your group?|Seek and take advantage of new opportunities.
6.1-15. Which of the following motivational strategies can help you promote a sense of progress in your group?|. Recognize and celebrate group accomplishments.
6.1-16. The most visible symptom of an unmotivated group is|apathy.
6.1-17. Which of the following strategies is NOT an effective tool for motivating virtual groups?|. Let the group create its own agenda.
6.1-18. Controlling feedback|tells members what to do.
6.1-19. All of the following guidelines can help you use "it" statements to provide informative feedback EXCEPT|"It" statements provide your personal opinion about a member of the
group.
6.1-20. A reprimand can best be described as|. a form of feedback that identifies deficiencies.
6.1-21. Before reprimanding a group member or a group as a whole, be sure you can answer all of the following questions EXCEPT|Will the reprimand help you achieve your personal goals?
6.1-22. Which of the following statements about the value of extrinsic rewards is the most accurate?|They are granted by supervisors rather than group members.
6.1-23. A survey examining employee turnover found that the chief reason people give for leaving a job is related to|the need for praise and recognition.
6.1-24. Leaders with ________________ power are more likely to motivate their members.|referent and persuasive
6.1-25. The textbook suggests 4 criteria for developing a reward system for groups.
Which answer reflects those criteria?|fair; equitable; competitive; appropriate
6.1-26. The textbook suggests 4 criteria for punishing a group member. Which answer
reflects these criteria?|predictable; immediate; consistent; impersonal
6.1-27. Which of the following statements is most accurate about using punishment as a motivational tool?|It does not motivate.
6.1-28. Suppose someone tells your group "If you finish this eighteen-month project on
time, I'll send each of you a person thank-you note. " According to your textbook,
this reward is not based on well-conceived, objective criteria. In this case, the reward is not|appropriate.
6.2-1. In order to achieve an optimal group experience, groups must negotiate several
dialectic tensions such as engaged ? disengaged and task dimensions ? social dimensions.|True
6.2-2. Motivation recognizes and financially compensates group members for work well done.|False
6.2-3. Maslow's belongingness, esteem, and self-actualization needs are classified as motivators rather than satisfiers.|True
6.2-4. Money can satisfy deficiency needs, but it will not necessarily motivate a group or
its members to work harder or better.|True
6.2-5. Meeting Maslow's self-actualization needs can motivate group members when they
provide prestige, status, and a sense of achievement.|False
6.2-6. According to Schutz's FIRO Theory, if you know that some group members have
an unmet inclusion need, you can motivate them by asking them to participate
more actively and telling them how valuable they are to the group.|True
6.2-7. Brainstorming often works best in a high-inclusion, low-control atmosphere.|True
6.2-8. In Myers-Briggs terms, thinkers should be thanked for their analysis but also
reminded that logical decisions impact real people.|True
6.2-9. In Myers-Briggs terms, you can motivate intuitives by providing a detailed
agenda, firm deadlines, and clear standards and expectations for success.|False
6.2-10. You can motivate judgers by assuring them that they will be given opportunities
to reconsider all decisions and make midcourse adjustments whenever needed. |False
6.2-11. Group members from low-context cultures often complain that they never receive
praise or rewards when, in fact, they are highly respected and valued by others.|True
6.2-12. Members from polychronic time cultures are motivated in groups that
concentrate on a specific task or goal and that meet their deadlines.|False
6.2-13. When groups experience apathy, intrinsic motivators?such as a sense of
meaningfulness and progress?are minimal or missing.|True
6.2-14. In order to motivate the members of virtual groups, provide a detailed agenda
well in advance of a scheduled meeting, along with any resources and online documents needed for the meeting.|True
6.2-15. In order to motivate members of virtual groups, insist that all members stay
online throughout the meeting regardless of the issues being discussed.|False
6.2-16. Informational feedback tells people what to do whereas controlling feedback tells people how they are doing.|False
6.2-17. When providing informational feedback to group members, "it" statements focus
more on personal traits of individual group members than on the task.|False
6.2-18. When providing informational feedback to group members, "it" statements avoid
using the word "you" when describing individual or group behavior.|True
6.2-19. Reprimands motivate because they threaten to withhold valued extrinsic rewards.|False
6.2-20. For the most part, extrinsic rewards do not motivate groups to work together in pursuit of a shared goal.|True
6.2-21. Completing a challenging group project can provide intrinsic rewards.|True
6.2-22. One study examining employee turnover found that the chief reason people give
for leaving a job is the lack of intrinsic rewards.|True
6.2-23. Groups or leaders with the power to reward members should make sure the
rewards are fair, equitable, competitive, and appropriate.|True
6.2-24. Leaders with referent and informational power are least likely to motivate their group members.|False
6.2-25. If each group member does not have an equal opportunity to earn rewards, the group may become less productive.|True
6.2-26. Researchers have found that high-performing groups participate in a wide variety
and frequency of celebrations where recognition and appreciation is expressed.|True
6.2-27. The highest-performing managers show more warmth, fondness, and affection
towards others than do the bottom 25% of managers.|. True
6.2-28. If you and your group decide that someone deserves to be punished, the
punishment should be unpredictable, gradual, and personal.|. False
6.2-29. Punishment?subjecting members to a penalty or negative consequence?does not motivate.|True
7.1-1. Which of the following terms is used to describe the personal feelings and
emotions connected to the meaning of a word?|. connotation
7.1-2. Defining a computer as "a programmable electronic device that stores, retrieves,
and processes data" represents what type of meaning?|denotation
7.1-3. If reading or hearing the word "computer" evokes a negative image of an
increasingly complex software nightmare that frustrates and infuriates you, what
type of meaning is influencing your response to the word?|connotation
7.1-4. Which of the following is an example of an abstract word?|. fairness
7.1-5. Which of the following words would be considered the most concrete description of a member's behavior?|burps
7.1-6. _______________ is the means we use to achieve group goals, the stimulus we use to build relationships, and the evidence we use to assess group work.|Team talk
7.1-7. Which of the following statements illustrates the Social Equality Dimension of team talk?|. "Hey guys, let's find out where Lee stands on this before we do anything this far out."
7.1-8. Which of the following statements illustrates the Conflict Management Dimension of team talk?|"Could we back up and look at this from a different angle?"
7.1-9. All of the following communication strategies can help improve a group's team talk EXCEPT|Express your individual needs.
7.1-10. How should you use team talk to produce a stronger, more cooperative group?|. all of the above
7.1-11. The statement "Let's keep working on this report until we're ready for a dinner
break. That way we may not have to meet tomorrow" is an indicator of which team talk dimension?|identification
7.1-12. The specialized or technical language of a profession is referred to as|jargon.
7.1-13. At a regular study group meeting, one member asks that everyone be able to
"summarize the most important information in each chapter." At the next
meeting, a group member distributes an outline of the textbook's important
concepts but wonders why no one else in the group has made the same effort. This
misunderstanding is an example of|bypassing.
7.1-14. In a section on avoiding abusive language, your textbook suggests that if you take
action against others, make sure you a v o i d all forms of verbal abuse EXCEPT|expressing your personal objections.
7.1-15. Researchers such as Deborah Tannen claim that men and women use language
differently. Men, she maintains, are more likely to|assert their ideas and verbally compete with others.

7.1-16. Which of the following answers represents an accent rather than a dialect?|. Someone from Asia says "lice" instead of rice.
7.1-17. In reviewing the research on dialects, Carley Dodd has drawn several conclusions.
Which statement is NOT one of Dodd's conclusions?|. It would be unethical to speak differently at home than you would speak at
work.
7.1-18. The variations in vocabulary, pronunciation, syntax, and style that distinguish
speakers from different ethnic groups and geographic areas are referred to as|dialects.
7.1-19. When African Americans speak one way among white people or in business
settings and quite differently at home, they are|. codeswitching.
7.1-20. Research suggests that nonverbal communication accounts for between
_________% of the meaning we communicate to others.|60?70
7.1-21. Researchers maintain that good-looking people _______________ than less attractive people.|. all of the above
7.1-22. The study of body movement and physical expression is referred to as|kinesics.
7.1-23. Posture, touch, and gestures are examples of|kinesics.
7.1-24. While preparing for a corporate job interview, Richard pays careful attention to
selecting appropriate clothing (including the long-sleeved shirt to hide his tattoo),
reminding himself to smile and establish eye contact with the person who will be
interviewing him, and answering possible questions in a strong, confident voice.
What aspect of nonverbal communication has Richard failed to consider?|body movement
7.1-25. According to your textbook, task-oriented leaders are attracted to the head of a
table, while more socially oriented leaders are likely to sit|. in the middle position at the side of a table.
7.1-26. Anthropologist Edward T. Hall identifies 4 zones of interaction used by most
North Americans. Which of the following answers is NOT one of Hall's zones?|business distance
7.1-27. What are the distance parameters most North Americans use when interacting
with new acquaintances and strangers?|4 feet to 8 feet
7.1-28. Members of most well-established groups interact with one another at Hall's|personal distance.
7.1-29. Jack Gibb describes 6 pairs of communication behaviors that influence whether a
group's climate is defensive or supportive. Which of the following communication
behaviors is the opposite of evaluation?|description
7.1-30. According to Jack Gibb and his notion of supportive/defensive communication,
which communication behavior is the opposite of strategic?|spontaneous
7.1-31. The statement "That's a stupid way to approach the problem" is an example of which type of response?|evaluative
7.1-32. Which dimension of a supportive communication climate is evident when group
members are flexible, offer ideas, and welcome suggestions from others?|provisionalism
7.1-33. After presenting a proposed solution to a group problem, Carlos says "I can't see
any other way of solving this that makes sense. " Which defensive behavior is exemplified in Carlos's statement?|certainty
7.1-34. Toby presents a proposed solution to a group problem and says "If it's okay with
everyone, I'd like to explain how this solution worked in a group I once belonged
to and how we pulled together to make it work. It may help us with this problem."
Which supportive behavior is exemplified in Toby's statement?|equality
7.1-35. Aisha laughs and smiles when she talks, stands close to other group members in a
relaxed posture, and uses direct eye contact. What characteristic of nonverbal communication is she using?|nonverbal immediacy
7.1-36. All of the following nonverbal behaviors are characteristics of nonverbal immediacy EXCEPT|. more leaning back.

7.2-1. Group members' tone of voice, eye contact, and physical proximity can tell you as
much or more about their thoughts and feelings than the words they speak.|. True
7.2-2. African American and Latino members may be more sensitive to the nonverbal
components of messages, whereas European Americans may rely on and trust a
member's words to convey meaning.|True
7.2-3. Denotation, rather than connotation, is more likely to influence how we respond to words.|False
7.2-4. Semanticist S. I. Hayakawa refers to "denotation" as "the aura of feelings, pleasant
or unpleasant, that surround practically all words."|False
7.2-5. In connotative language, a word always has only one meaning.|True
7.2-6. Abstract words refer to ideas or concepts you cannot see or touch, such as dignity, hope, and faith.|True
7.2-7. Concrete words refer to specific things you perceive with your senses?things you can see, hear, touch, smell, or taste.|True
7.2-8. Speaking in an active voice ("Our group has completed the report due next week")
